Query_Name,LDF,LDF+EF,NLF,NLF+EF,GQL,GQL+EF,TSOF,TSOF+EF,CFL,CFL+EF,DPiso,DPiso+EF,KF,LDF_ec,LDF+EF_ec,NLF_ec,NLF+EF_ec,GQL_ec,GQL+EF_ec,TSOF_ec,TSOF+EF_ec,CFL_ec,CFL+EF_ec,DPiso_ec,DPiso+EF_ec,KF_ec,LDF_cand,LDF_true,LDF+EF_cand,LDF+EF_true,NLF_cand,NLF_true,NLF+EF_cand,NLF+EF_true,GQL_cand,GQL_true,GQL+EF_cand,GQL+EF_true,TSOF_cand,TSOF_true,TSOF+EF_cand,TSOF+EF_true,CFL_cand,CFL_true,CFL+EF_cand,CFL+EF_true,DPiso_cand,DPiso_true,DPiso+EF_cand,DPiso+EF_true,KF_cand,KF_true
dense_16_1,3.45995,4.53129,3.36294,5.35068,2.97085,4.68047,5.76473,5.83507,5.57928,5.57253,3.46396,4.76315,4.4792,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,222974,0,202567,0,32602,0,32397,0,3362,0,3359,0,7941,0,7941,0,4482,0,4482,0,2063,0,2057,0,1153,0
dense_16_2,3.43153,4.50581,3.3923,5.1469,2.97108,4.75396,6.3812,6.48945,5.4819,5.46721,3.59987,5.31481,4.20785,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,216120,0,200798,0,26704,0,26622,0,3146,0,3146,0,6363,0,6363,0,2686,0,2686,0,2153,0,2153,0,929,0
dense_16_3,2.51048,3.93573,2.55225,4.79782,2.81379,4.66779,4.82313,4.92269,5.07881,5.24021,2.52982,3.70961,4.85578,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,107755,0,79500,0,18421,0,18120,0,583,0,583,0,3245,0,3235,0,594,0,594,0,775,0,775,0,531,0
dense_16_4,4.69678,5.01879,4.84287,6.88727,3.8195,5.62486,6.25893,6.40318,6.2646,6.32449,3.57386,5.01568,4.60097,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,228299,0,197877,0,25826,0,25548,0,1135,0,1135,0,5928,0,5928,0,2185,0,2185,0,2713,0,2713,0,400,0
dense_16_5,3.16799,3.71145,3.19374,4.85583,2.96411,4.92247,5.34982,5.36834,5.50237,5.41966,3.02195,4.18856,3.98988,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,212004,0,196826,0,30620,0,30566,0,4442,0,4442,0,7356,0,7356,0,3016,0,3016,0,2569,0,2569,0,1755,0
dense_16_6,2.56142,3.55996,3.12117,4.33028,2.53159,4.34436,4.94714,4.87658,5.21416,5.09197,2.63986,3.65873,3.45876,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,204104,0,167050,0,27407,0,26736,0,2143,0,2143,0,6701,0,6700,0,1777,0,1777,0,1776,0,1758,0,976,0
dense_16_7,31.6057,37.9858,26.418,29.2988,48.8798,59.4256,30.1695,30.9751,42.4637,36.7651,30.3791,30.982,33.9385,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,37516,0,23375,0,3032,0,2949,0,539,0,539,0,1553,0,1553,0,549,0,549,0,688,0,688,0,537,0
dense_16_8,13.6783,16.1087,16.8356,11.8876,7.63459,10.6171,18.3135,18.584,12.1265,7.48117,10.6482,11.0326,4.88695,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,138676,0,102905,0,12902,0,12759,0,669,0,669,0,3757,0,3757,0,774,0,774,0,1089,0,1089,0,634,0
dense_16_9,4.69329,5.08896,4.68824,6.52849,10.1608,12.4167,9.94427,10.4138,10.7599,11.0726,16.0819,18.441,13.2736,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,193656,0,157569,0,20799,0,20510,0,1257,0,1257,0,5243,0,5243,0,925,0,925,0,790,0,790,0,553,0
dense_16_10,11.1202,11.5103,5.27513,7.36714,6.61447,8.5635,7.31726,7.41202,7.55538,7.39876,6.61493,7.74751,8.67491,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,210322,0,189564,0,22268,0,22180,0,1631,0,1631,0,5642,0,5642,0,2556,0,2556,0,1516,0,1516,0,947,0
dense_16_11,3.36233,4.54068,3.03564,4.88298,4.19541,6.43252,9.05495,8.90111,8.5922,9.07939,8.45064,10.6733,8.85643,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,145818,0,120107,0,19165,0,18927,0,665,0,665,0,4307,0,4307,0,1416,0,1416,0,836,0,836,0,655,0
dense_16_12,8.12288,8.66108,5.25162,5.68705,3.64436,5.59896,6.98362,12.615,13.0329,12.8652,7.09031,8.06298,4.75838,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,223316,0,205831,0,25634,0,25488,0,2491,0,2491,0,7590,0,7590,0,3174,0,3174,0,2125,0,2125,0,901,0
dense_16_13,2.20689,4.21702,2.96967,4.79042,3.64826,5.58343,5.27695,5.75386,7.82011,8.0458,1.96043,4.13896,6.60479,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,196394,0,178166,0,23293,0,23149,0,1470,0,1470,0,6057,0,6057,0,2134,0,2134,0,1335,0,1335,0,1017,0
dense_16_14,5.38789,7.27602,4.86129,8.33967,4.92707,7.6431,8.10171,9.37202,9.49946,9.15455,7.6434,9.734,7.20248,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,197669,0,178381,0,24917,0,24743,0,2380,0,2378,0,4919,0,4919,0,2127,0,2127,0,1972,0,1971,0,509,0
dense_16_15,5.28765,6.83175,4.54456,7.3686,4.60206,7.43725,9.15162,9.11132,12.6384,12.5637,4.65321,6.76369,6.68291,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,216817,0,188462,0,27389,0,27220,0,1024,0,1024,0,6339,0,6339,0,2107,0,2107,0,1291,0,1291,0,648,0
dense_16_16,5.15752,6.62423,4.9931,7.94702,4.57062,7.64366,8.93375,8.8231,17.3654,17.6756,4.70341,6.51617,6.49936,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,193653,0,174541,0,23874,0,23808,0,1102,0,1102,0,5372,0,5372,0,1735,0,1735,0,1585,0,1585,0,817,0
dense_16_17,4.90621,7.078,5.34858,8.38357,4.34506,7.54118,8.73264,8.78941,8.83684,8.65512,4.66444,6.71382,6.53609,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,196521,0,159999,0,25913,0,25410,0,1003,0,1003,0,5297,0,5297,0,2018,0,2018,0,1400,0,1400,0,886,0
dense_16_18,6.9555,9.046,5.15572,8.10877,5.88219,8.83188,10.4431,10.951,10.9722,11.2802,5.95549,8.18009,7.57415,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,223722,0,202972,0,34809,0,34682,0,6363,0,6363,0,9382,0,9382,0,5029,0,5029,0,3108,0,3108,0,2592,0
dense_16_19,13.1758,96.4227,15.1116,17.9094,4.24745,7.13989,15.9962,15.9884,13.6947,13.3354,4.35008,6.33781,5.80397,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,212429,0,188187,0,26434,0,26265,0,1418,0,1418,0,6451,0,6451,0,2426,0,2426,0,1413,0,1409,0,730,0
dense_16_20,4.98943,6.62567,4.42985,7.57678,4.16513,7.14449,9.41276,9.73013,9.15144,9.22871,5.04243,6.97424,7.73043,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,206959,0,179641,0,25551,0,25406,0,1738,0,1738,0,6237,0,6237,0,2862,0,2862,0,2091,0,2090,0,648,0
dense_16_21,15.2722,18.2532,3.72634,5.07369,3.33146,5.02682,6.24114,7.98762,6.01772,9.24478,5.1143,7.06152,6.92889,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,214102,0,188275,0,28513,0,28166,0,2763,0,2763,0,6935,0,6935,0,2648,0,2648,0,2638,0,2638,0,1403,0
dense_16_22,8.2639,9.66238,6.44486,8.72926,4.68369,7.90021,10.9512,10.8494,10.5125,10.6245,4.02498,6.12034,7.51961,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,194061,0,175740,0,23676,0,23553,0,1323,0,1323,0,6068,0,6068,0,2137,0,2137,0,1355,0,1355,0,772,0
dense_16_23,11.0415,16.1647,11.3331,14.1829,8.81567,11.2143,13.8271,13.6185,12.6983,12.3338,8.85902,9.90259,5.82983,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,133480,0,101656,0,12932,0,12692,0,663,0,663,0,3845,0,3845,0,1211,0,1211,0,589,0,589,0,539,0
dense_16_24,3.40368,4.70907,3.89511,5.32889,5.30874,7.23549,5.80075,5.75865,5.93217,6.21699,4.07535,5.25617,4.71205,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,151625,0,128229,0,18322,0,18183,0,821,0,821,0,4197,0,4197,0,1179,0,1179,0,879,0,879,0,686,0
dense_16_25,3.27406,4.93043,3.89059,5.70188,3.08457,4.93212,6.83122,6.88482,6.29768,6.18564,3.59835,4.80174,5.47926,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,214727,0,182993,0,27733,0,27437,0,905,0,902,0,5815,0,5815,0,2038,0,2038,0,1141,0,1141,0,649,0
dense_16_26,4.12726,5.38908,4.14953,6.00331,4.05524,5.8901,6.37996,6.51643,8.69826,8.55358,3.85173,4.96908,5.7336,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,162076,0,130418,0,19501,0,19345,0,503,0,503,0,4547,0,4547,0,804,0,804,0,877,0,877,0,414,0
dense_16_27,4.29499,74.6733,3.82334,6.28635,7.43969,10.2559,17.5204,17.7026,8.40879,8.27294,4.48161,6.82722,5.777,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,198899,0,162902,0,24450,0,24158,0,1473,0,1471,0,5437,0,5437,0,1444,0,1444,0,1596,0,1596,0,858,0
dense_16_28,14.8621,13.83,38.6785,31.2143,16.1529,19.0188,42.8094,74.8833,800.556,655.154,118.798,96.592,6.69196,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,219010,0,195872,0,22521,0,22458,0,1718,0,1718,0,5711,0,5711,0,1791,0,1791,0,2152,0,2152,0,781,0
