Query_Name,LDF,LDF+EF,NLF,NLF+EF,GQL,GQL+EF,TSOF,TSOF+EF,CFL,CFL+EF,DPiso,DPiso+EF,KF,LDF_ec,LDF+EF_ec,NLF_ec,NLF+EF_ec,GQL_ec,GQL+EF_ec,TSOF_ec,TSOF+EF_ec,CFL_ec,CFL+EF_ec,DPiso_ec,DPiso+EF_ec,KF_ec,LDF_cand,LDF_true,LDF+EF_cand,LDF+EF_true,NLF_cand,NLF_true,NLF+EF_cand,NLF+EF_true,GQL_cand,GQL_true,GQL+EF_cand,GQL+EF_true,TSOF_cand,TSOF_true,TSOF+EF_cand,TSOF+EF_true,CFL_cand,CFL_true,CFL+EF_cand,CFL+EF_true,DPiso_cand,DPiso_true,DPiso+EF_cand,DPiso+EF_true,KF_cand,KF_true
sparse_16_1,3.25087,4.31543,2.7709,4.57315,2.84516,4.67568,5.48891,5.51681,5.59162,5.65499,3.14568,4.36043,3.66277,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,247674,0,230435,0,39808,0,39582,0,4330,0,4327,0,9647,0,9647,0,4551,0,4551,0,3303,0,3300,0,2169,0
sparse_16_2,2.64727,4.08265,2.57194,4.20167,3.2701,5.29086,4.76505,4.80414,5.04814,5.65703,3.04489,4.51445,4.00962,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,245006,0,225222,0,34586,0,34479,0,4606,0,4606,0,7825,0,7823,0,4584,0,4584,0,3164,0,3164,0,1711,0
sparse_16_3,3.55783,4.64496,2.7498,5.0308,3.69089,5.37767,5.72437,5.61795,5.03339,5.17516,3.28366,4.46624,4.1053,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,253828,0,221490,0,42855,0,42364,0,4010,0,4010,0,10000,0,10000,0,6508,0,6508,0,2900,0,2900,0,1479,0
sparse_16_4,2.27987,3.7189,2.50582,4.36195,2.5124,4.37899,5.39042,5.0153,5.23886,5.17115,2.41992,3.5978,3.8704,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,251317,0,226427,0,40003,0,39523,0,3828,0,3828,0,8225,0,8225,0,5253,0,5253,0,4636,0,4623,0,1227,0
sparse_16_5,2.42986,3.67648,2.613,4.4423,3.17412,5.11403,5.69688,5.77149,5.8231,5.82576,3.1243,4.41075,4.26951,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,253473,0,227963,0,40840,0,40614,0,5380,0,5380,0,9769,0,9769,0,4965,0,4965,0,3853,0,3831,0,2138,0
sparse_16_6,2.20847,3.71267,2.25787,4.32121,2.37648,4.67205,4.59614,4.47631,4.72168,4.6959,2.31924,3.48057,3.37938,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,251413,0,224629,0,40613,0,40190,0,3965,0,3965,0,9354,0,9354,0,5256,0,5256,0,3582,0,3572,0,1689,0
sparse_16_7,3.47945,4.19339,3.14223,5.03158,2.97647,4.82222,5.49773,5.66733,5.51373,5.70056,3.4597,4.42504,3.78161,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,247752,0,219515,0,36396,0,36182,0,2797,0,2797,0,8293,0,8293,0,3732,0,3732,0,2195,0,2195,0,1237,0
sparse_16_8,2.47865,7.10536,5.00131,6.53772,2.50579,7.88582,8.13957,8.93215,8.39905,8.44033,3.5386,5.50373,7.91674,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,250652,0,227947,0,36735,0,36204,0,1916,0,1916,0,8375,0,8375,0,5477,0,5477,0,3210,0,3210,0,1039,0
sparse_16_9,3.50459,8.07563,4.45022,4.35622,5.78026,7.65598,7.84188,8.11475,8.28694,6.37365,4.91994,7.26958,6.08128,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,247110,0,224808,0,35490,0,35188,0,2230,0,2229,0,8211,0,8211,0,5039,0,5039,0,2634,0,2615,0,742,0
sparse_16_10,13.3162,13.3251,5.02065,6.75589,5.02582,7.07658,10.1174,9.60041,7.86782,7.60114,5.1785,6.23315,6.85686,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,253897,0,224629,0,32852,0,32479,0,3077,0,3076,0,7324,0,7324,0,4514,0,4514,0,3570,0,3570,0,1821,0
