Query_Name,LDF,LDF+EF,NLF,NLF+EF,GQL,GQL+EF,TSOF,TSOF+EF,CFL,CFL+EF,DPiso,DPiso+EF,KF,LDF_ec,LDF+EF_ec,NLF_ec,NLF+EF_ec,GQL_ec,GQL+EF_ec,TSOF_ec,TSOF+EF_ec,CFL_ec,CFL+EF_ec,DPiso_ec,DPiso+EF_ec,KF_ec,LDF_cand,LDF_true,LDF+EF_cand,LDF+EF_true,NLF_cand,NLF_true,NLF+EF_cand,NLF+EF_true,GQL_cand,GQL_true,GQL+EF_cand,GQL+EF_true,TSOF_cand,TSOF_true,TSOF+EF_cand,TSOF+EF_true,CFL_cand,CFL_true,CFL+EF_cand,CFL+EF_true,DPiso_cand,DPiso_true,DPiso+EF_cand,DPiso+EF_true,KF_cand,KF_true
dense_4_1,0.451135,4.30793,0.462536,4.68843,0.483904,4.56914,8.26564,8.24239,8.28105,8.24192,0.523204,4.1323,3.48779,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,83914,21179,83914,21179,26491,19443,26491,19443,21735,19443,21735,19443,22205,19443,22205,19443,22205,19443,22205,19443,21735,19443,21735,19443,21735,19443
dense_4_2,0.208419,4.49052,0.244,4.36888,0.254998,4.3765,8.14074,8.01885,7.99356,7.98112,0.224708,3.9798,3.25705,838911,838911,838911,838911,838911,838911,838911,838911,838911,838911,838911,838911,838911,81406,16495,81353,16495,24243,16495,24243,16495,19134,16495,19134,16495,20422,16495,20422,16495,19818,16495,19818,16495,19284,16495,19284,16495,19067,16495
dense_4_3,0.154408,4.15281,0.170835,4.30995,0.180763,4.26308,7.94167,8.22569,7.88227,7.9197,0.160839,3.87773,3.18121,433646,433646,433646,433646,433646,433646,433646,433646,433646,433646,433646,433646,433646,81907,12578,81864,12578,19399,12578,19398,12578,14033,12578,14033,12578,15203,12578,15203,12578,14660,12578,14660,12578,14167,12578,14167,12578,13935,12578
dense_4_4,0.21584,4.25374,0.249408,4.37102,0.263898,4.38301,8.14741,8.05553,8.00716,8.02965,0.241373,3.94498,3.27773,913142,913142,913142,913142,913142,913142,913142,913142,913142,913142,913142,913142,913142,81414,15832,81378,15832,21820,15832,21820,15832,17038,15832,17038,15832,18166,15832,18166,15832,17576,15832,17576,15832,17133,15832,17133,15832,16996,15832
dense_4_5,0.0886438,3.9844,0.109166,4.35978,0.123827,4.21575,7.91304,7.93803,7.9394,7.8706,0.103641,3.82484,3.1188,29557,29557,29557,29557,29557,29557,29557,29557,29557,29557,29557,29557,29451,76982,8159,76436,8159,13485,8159,13484,8159,10109,8159,10109,8159,11640,8159,11640,8159,10281,8159,10281,8159,10201,8159,10201,8159,9782,7905
dense_4_6,0.719519,4.74061,0.405554,4.59159,0.413461,4.49157,8.17818,8.22455,8.23054,8.18686,0.374058,4.07903,3.40942,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,80798,14353,80462,14353,21063,6748,21062,6748,16713,2713,16713,2713,17844,2713,17844,2713,16843,2713,16843,2713,16717,2713,16717,2713,16367,2713
dense_4_7,0.383348,4.33731,0.426069,4.52171,0.435068,4.5929,8.30546,8.30497,8.23416,8.37325,0.404338,4.09896,3.45905,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,83481,11203,83481,11203,28424,11203,28424,11203,23951,11203,23951,11203,24397,11203,24397,11203,24397,11203,24397,11203,23951,11203,23951,11203,23951,11203
dense_4_8,0.307701,4.44431,0.286127,4.39755,0.297011,4.49282,8.41954,8.32074,8.44197,8.24559,0.269564,4.99153,3.61759,1129400,1129400,1129400,1129400,1129400,1129400,1129400,1129400,1129400,1129400,1129400,1129400,1129400,83777,20606,83777,20606,25384,20606,25384,20606,20606,20606,20606,20606,21037,20606,21037,20606,21037,20606,21037,20606,20606,20606,20606,20606,20606,20606
dense_4_9,0.10717,4.25667,0.124349,4.63398,0.127681,4.38382,9.22184,7.94447,7.91173,7.92697,0.0986492,3.81186,3.08323,31776,31776,31776,31776,31776,31776,31776,31776,31776,31776,31776,31776,31694,76732,6795,76198,6795,12134,6795,12131,6795,8554,6795,8554,6795,10174,6795,10174,6795,8712,6795,8712,6795,8667,6795,8667,6795,8270,6603
dense_4_10,0.0890048,4.12413,0.125243,4.40981,0.13248,4.26092,8.62877,7.91375,7.89842,7.91148,0.111904,3.82333,3.13264,40630,40630,40630,40630,40630,40630,40630,40630,40630,40630,40630,40630,40558,77588,8730,77059,8730,13348,8730,13347,8730,10064,8730,10064,8730,11560,8730,11560,8730,10227,8730,10227,8730,10153,8730,10153,8730,9854,8560
dense_8_1,0.480954,4.46497,0.634965,5.05011,0.668558,5.03531,8.31684,8.20775,8.20751,11.2757,0.504126,4.28955,3.5491,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,142224,404,141550,404,19894,348,19892,348,11714,340,11714,340,15881,340,15881,340,12375,340,12375,340,14866,389,14866,389,11579,340
dense_8_2,0.539896,4.92212,0.761154,5.17161,0.769414,5.95148,8.62936,9.34439,8.81313,9.59599,0.581217,4.42552,3.67494,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,150825,1771,149975,1771,24765,1771,24761,1771,12059,1771,12059,1771,17294,1771,17294,1771,13802,1771,13802,1771,13758,1771,13758,1771,11717,1771
dense_8_3,0.710907,4.57035,0.707768,5.29593,0.799137,5.74404,9.43674,9.06383,8.37975,8.65987,0.650985,4.38098,3.73148,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,149711,710,148839,710,31606,682,31597,682,18210,705,18210,705,23611,682,23611,682,19637,705,19637,705,18717,705,18717,705,18014,705
dense_8_4,0.52121,4.8438,0.693418,5.11025,0.713988,5.02654,8.30963,8.35771,8.43304,8.49732,0.574693,4.37294,3.584,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,148353,1956,147491,1956,20362,1956,20357,1956,8745,1956,8745,1956,14591,1956,14591,1956,10031,1956,10031,1956,10078,2544,10078,2544,8544,1956
dense_8_5,0.480258,4.47219,0.656971,5.25069,0.687346,5.21578,8.44671,8.59003,8.57016,8.41632,0.485635,4.66722,3.87594,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,150185,2025,149228,2025,23630,2025,23627,2025,11478,2025,11478,2025,17593,2025,17593,2025,13029,2025,13029,2025,13196,2025,13196,2025,11024,2025
dense_8_6,0.478469,4.7672,0.652385,5.07802,0.688042,5.3317,8.58059,8.59716,8.64046,8.8242,0.506873,4.31388,3.67179,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,145487,1579,144531,1579,22112,1586,22110,1586,12594,1586,12594,1586,17948,1586,17948,1586,13462,1586,13462,1586,12925,1586,12925,1586,12476,1586
dense_8_7,0.458512,4.67131,0.633201,5.07948,0.65797,5.07176,8.77872,8.48022,8.44303,8.64563,0.48363,4.32272,3.56383,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,149587,765,148449,765,23334,765,23327,765,10918,765,10918,765,16522,765,16522,765,11882,765,11882,765,11199,744,11199,744,10616,744
dense_8_8,0.484376,4.53474,0.656262,4.97112,0.65196,5.43733,9.59458,8.72776,8.56247,9.82602,0.474657,4.29426,3.4873,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,149630,1092,148668,1092,23392,1003,23391,1003,10857,1092,10857,1092,17509,1004,17509,1004,12503,1004,12503,1004,11104,1092,11104,1092,10435,1092
dense_8_9,0.822848,5.21403,0.750589,5.7504,0.80586,5.35773,8.66705,9.26965,10.6715,9.99555,0.76267,4.98687,4.26426,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,152802,1505,151966,1505,25231,1497,25228,1497,12162,1497,12162,1497,17995,1497,17995,1497,14578,1505,14578,1505,12963,1505,12963,1505,11913,1497
dense_8_10,0.436063,5.29318,0.649112,5.69739,0.714787,5.01966,9.71892,9.31217,9.87996,9.04525,0.488637,4.54145,3.72033,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,153025,340,152028,340,28152,340,28144,340,13538,404,13538,404,20035,340,20035,340,16935,404,16935,404,15680,404,15680,404,13076,404
dense_16_1,0.729501,5.00156,1.17115,6.67364,1.2293,6.3239,8.48858,8.83592,8.48747,8.65258,0.692862,4.79528,3.93968,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,296319,1187,294681,1192,51099,1193,51093,1193,19382,1184,19382,1184,34969,1188,34969,1188,26008,1184,26008,1184,18503,1187,18503,1187,16443,1187
dense_16_2,4.29712,8.79774,1.40968,6.72414,1.0845,6.53366,9.24583,9.18267,8.95679,8.96954,0.630526,4.47174,3.6032,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,265845,993,264711,993,28139,993,28135,993,8336,1469,8336,1469,21303,993,21303,993,15682,993,15682,993,10670,1431,10670,1431,7931,1469
dense_16_3,1.11216,5.81011,1.23961,6.4024,1.472,6.76369,8.73543,8.74302,8.5862,8.93661,0.94518,4.7941,4.43073,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,293045,92,290785,92,43899,92,43891,92,9423,92,9423,92,30924,92,30924,92,18199,93,18199,93,10887,92,10887,92,8778,92
