Query_Name,LDF,LDF+EF,NLF,NLF+EF,GQL,GQL+EF,TSOF,TSOF+EF,CFL,CFL+EF,DPiso,DPiso+EF,KF,LDF_ec,LDF+EF_ec,NLF_ec,NLF+EF_ec,GQL_ec,GQL+EF_ec,TSOF_ec,TSOF+EF_ec,CFL_ec,CFL+EF_ec,DPiso_ec,DPiso+EF_ec,KF_ec,LDF_cand,LDF_true,LDF+EF_cand,LDF+EF_true,NLF_cand,NLF_true,NLF+EF_cand,NLF+EF_true,GQL_cand,GQL_true,GQL+EF_cand,GQL+EF_true,TSOF_cand,TSOF_true,TSOF+EF_cand,TSOF+EF_true,CFL_cand,CFL_true,CFL+EF_cand,CFL+EF_true,DPiso_cand,DPiso_true,DPiso+EF_cand,DPiso+EF_true,KF_cand,KF_true
dense_24_1,3.23768,4.77791,2.33383,7.84202,4.00148,12.9129,12.5057,17.1612,16.8191,9.6934,1.7221,4.79118,3.9733,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,405249,0,403239,0,43841,0,43828,0,14627,0,14627,0,26650,0,26650,0,10983,0,10983,0,14037,0,14037,0,7439,0
dense_24_2,61047.4,50492.9,160.12,139.851,38.3209,44.3786,139.146,165.804,293.486,291.285,1689.91,1686.29,10.5683,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,373740,0,370922,0,30578,0,30567,0,6087,0,6087,0,20585,0,20585,0,9834,0,9834,0,11102,0,11102,0,5808,0
dense_24_3,60.5651,66.0683,10.4796,17.9158,18.9413,26.2753,17.3518,17.3461,63.4129,61.7368,36.6312,41.4247,12.0857,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,428394,0,426427,0,47921,0,47908,0,13775,0,13775,0,28833,0,28833,0,16488,0,16488,0,14697,0,14697,0,10454,0
dense_24_4,118.67,121.853,113.444,118.812,83.1114,88.0154,122.045,122.214,123.076,122.467,107.786,113.213,81.3344,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,307220,0,305343,0,18077,0,18070,0,1382,0,1382,0,10919,0,10919,0,2155,0,2155,0,3365,0,3365,0,1367,0
dense_24_5,328.052,357.194,84.0963,90.2615,25.9287,33.3023,94.8214,93.7002,46.9362,45.5254,77.2835,51.8943,29.0663,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,425863,0,423053,0,47229,0,47222,0,9513,0,9513,0,30559,0,30559,0,16737,0,16737,0,13076,0,13076,0,8829,0
dense_24_6,41.3866,46.6808,15.805,23.764,4.34087,12.1699,133.602,103.525,7.84556,7.82067,1.94825,4.91965,3.98723,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,454888,0,452366,0,74124,0,74112,0,26327,0,26327,0,45003,0,45003,0,28222,0,28222,0,24838,0,24838,0,16202,0
dense_24_7,3.42113,6.41022,4.39471,9.61839,3.50413,8.31072,9.43734,9.4737,30.8182,30.7842,590.962,496.724,9.27946,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,381682,0,378631,0,32913,0,32894,0,2200,0,2200,0,18915,0,18915,0,10462,0,10462,0,15283,0,15283,0,2181,0
dense_24_8,133.633,1089.17,29.4037,37.1582,5.96585,13.5203,39.3404,38.4383,38.9689,38.6904,43.8244,49.7694,26.3067,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,461208,0,459173,0,78665,0,78658,0,38148,0,38148,0,51781,0,51781,0,40442,0,40442,0,38034,0,38034,0,31898,0
dense_24_9,52.5978,13.4171,5.79322,13.6168,5.90798,13.4148,10.9337,8.80834,9.14029,8.914,59.9646,64.9344,33.869,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,436519,0,432917,0,64824,0,64807,0,19352,0,19352,0,41978,0,41978,0,27655,0,27655,0,28347,0,28347,0,14886,0
dense_24_10,19.7755,24.5364,13.6937,18.5931,11.8612,16.9561,18.7463,19.2847,15.2565,15.3193,9.97758,12.8845,13.7738,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,405440,0,401261,0,41143,0,41127,0,6242,0,6242,0,25479,0,25479,0,12482,0,12482,0,10697,0,10697,0,5812,0
dense_24_11,30.5059,34.3435,4.86675,9.92856,4.44896,9.56169,10.2431,10.1627,32.929,33.3238,5.4444,8.14806,5.85028,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,323865,0,321589,0,23734,0,23726,0,1621,0,1621,0,14637,0,14637,0,2689,0,2689,0,3014,0,3014,0,1508,0
dense_24_12,4.66439,7.45611,3.71273,8.72646,3.03464,8.19392,8.86839,8.85764,8.44518,8.88405,4.51783,9.93567,9.13302,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,406109,0,402922,0,41261,0,41241,0,6176,0,6176,0,26430,0,26430,0,13030,0,13030,0,10745,0,10745,0,5756,0
