Query_Name,LDF,LDF+EF,NLF,NLF+EF,GQL,GQL+EF,TSOF,TSOF+EF,CFL,CFL+EF,DPiso,DPiso+EF,KF,LDF_ec,LDF+EF_ec,NLF_ec,NLF+EF_ec,GQL_ec,GQL+EF_ec,TSOF_ec,TSOF+EF_ec,CFL_ec,CFL+EF_ec,DPiso_ec,DPiso+EF_ec,KF_ec,LDF_cand,LDF_true,LDF+EF_cand,LDF+EF_true,NLF_cand,NLF_true,NLF+EF_cand,NLF+EF_true,GQL_cand,GQL_true,GQL+EF_cand,GQL+EF_true,TSOF_cand,TSOF_true,TSOF+EF_cand,TSOF+EF_true,CFL_cand,CFL_true,CFL+EF_cand,CFL+EF_true,DPiso_cand,DPiso_true,DPiso+EF_cand,DPiso+EF_true,KF_cand,KF_true
sparse_16_1,3.07514,8.59908,3.60114,10.8773,4.13146,10.7114,13.1196,12.8645,13.8326,13.9643,3.13836,8.67856,8.00603,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,315382,0,314091,0,77163,0,77147,0,37704,0,37704,0,53329,0,53329,0,46517,0,46517,0,36670,0,36670,0,34345,0
sparse_16_2,13.6212,24.156,4.42503,11.4432,4.11366,10.9784,14.7869,14.7185,8.29617,8.36643,2.8978,5.91201,4.33599,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,316447,0,315044,0,73489,0,73482,0,34609,0,34609,0,53103,0,53103,0,47303,0,47303,0,45084,0,45084,0,30494,0
sparse_16_3,1.61738,4.63929,2.00716,6.62554,2.0885,7.18333,7.67643,7.6346,7.75952,7.87495,1.56961,4.57258,3.91208,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,317721,0,315856,0,79192,0,79164,0,38106,0,38106,0,54306,0,54306,0,46037,0,46037,0,39473,0,39473,0,34457,0
sparse_16_4,8.48487,11.5963,3.97051,13.1619,6.14276,13.3227,16.6711,15.4829,9.54938,9.71289,3.43316,6.74236,5.77434,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,315277,0,314246,0,67824,0,67817,0,37341,0,37341,0,46648,0,46648,0,38935,0,38935,0,34566,0,34566,0,31797,0
sparse_16_5,8.41058,11.6483,2.18335,8.60359,3.71038,10.5552,13.6253,13.7506,20.7492,15.1121,6.67802,15.8134,7.66158,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,316059,0,314704,0,71395,0,71386,0,35496,0,35496,0,46171,0,46171,0,38232,0,38232,0,34553,0,34553,0,30649,0
sparse_16_6,12.4075,47.284,3.5958,9.85306,4.15755,11.2314,14.3078,14.2496,13.9984,13.909,3.22114,8.08453,8.30573,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,314900,0,313881,0,66473,0,66465,0,35641,0,35641,0,47025,0,47021,0,40733,0,40730,0,34377,0,34377,0,32568,0
sparse_16_7,3.66684,12.4261,4.28816,11.2744,4.01987,10.5698,14.138,13.6194,13.4743,14.1399,3.43647,8.79232,8.2746,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,317931,0,316061,0,76139,0,76108,0,32268,0,32268,0,50498,0,50498,0,41262,0,41262,0,37281,0,37281,0,26778,0
sparse_16_8,6.03867,11.5135,6.11812,12.9725,5.27917,12.2873,15.5609,16.1762,15.5792,15.6722,4.50911,5.49007,4.92685,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,316525,0,315177,0,68525,0,68507,0,25991,0,25991,0,42679,0,42678,0,34440,0,34439,0,29102,0,29102,0,22815,0
sparse_16_9,1.87874,4.80835,2.09331,6.6,11.665,15.1554,7.67021,8.23266,7.66469,7.62702,10.1581,13.3536,12.6776,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,316768,0,315330,0,77519,0,77504,0,40081,0,40081,0,54159,0,54159,0,46531,0,46531,0,39304,0,39304,0,34467,0
sparse_16_10,4.26195,9.12041,6.3456,11.1344,6.79479,11.5853,7.80624,8.89299,13.6812,13.455,6.49904,9.55067,17.6782,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,315772,0,314180,0,75792,0,75774,0,39938,0,39938,0,49492,0,49492,0,41914,0,41914,0,39764,0,39764,0,36416,0
sparse_16_11,2.9404,7.37171,2.04104,6.41099,5.88808,10.3603,7.73765,7.71534,7.77936,7.78926,38.424,47.939,13.4955,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,317456,0,315604,0,78071,0,78032,0,32440,0,32440,0,50829,0,50829,0,43669,0,43669,0,37584,0,37584,0,29145,0
sparse_16_12,14.5301,19.9936,9.04693,13.6024,2.18281,8.68555,23.5684,23.9366,24.4246,23.8174,2.6496,7.67398,7.33386,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,317242,0,315299,0,76635,0,76605,0,38541,0,38541,0,50565,0,50565,0,46038,0,46038,0,38807,0,38807,0,35631,0
sparse_16_13,10.6548,16.9555,5.01972,11.8527,4.93064,11.5808,14.8266,15.1479,15.0317,14.7978,6.76406,12.1191,13.131,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,315503,0,314348,0,68104,0,68094,0,36110,0,36110,0,47148,0,47148,0,39243,0,39243,0,32698,0,32698,0,25508,0
sparse_16_14,7.61163,12.5891,3.52292,10.3474,4.26364,10.7478,13.9871,13.5826,13.6431,13.5947,3.79068,9.07219,8.30795,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,317170,0,315495,0,77715,0,77692,0,33783,0,33783,0,52327,0,52327,0,42912,0,42912,0,33620,0,33620,0,31321,0
sparse_16_15,37.4519,15.9409,3.53011,10.3664,19.6516,26.4718,13.6788,13.7754,8.77211,9.00447,15.9956,35.9771,25.3562,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,317076,0,315681,0,81104,0,81089,0,33566,0,33566,0,54478,0,54478,0,48431,0,48431,0,35341,0,35341,0,30886,0
sparse_16_16,3.53664,8.68889,6.28285,13.1894,8.37875,15.18,13.7637,13.6961,13.5931,13.5326,4.80891,10.101,9.68196,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,316213,0,314825,0,73261,0,73248,0,35246,0,35246,0,46904,0,46904,0,39037,0,39037,0,35228,0,35228,0,32097,0
sparse_16_17,5.30625,10.572,5.25957,11.9977,5.17138,12.18,15.3543,15.4588,25.1612,24.293,17.6285,23.1376,18.1605,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,315865,0,314455,0,68947,0,68939,0,32770,0,32770,0,44328,0,44328,0,36824,0,36824,0,37619,0,37619,0,30247,0
sparse_16_18,9.25245,13.811,9.77247,16.769,9.31994,16.1155,18.7462,19.3247,19.0221,19.0763,7.22049,12.5973,12.295,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,316031,0,314747,0,69373,0,69369,0,32342,0,32342,0,45123,0,45123,0,35685,0,35685,0,26940,0,26940,0,24051,0
sparse_16_19,9.15836,14.0743,4.11543,10.8766,4.53926,11.4482,14.2213,14.1755,14.4344,14.4904,7.28274,12.492,8.8834,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,315518,0,313984,0,70042,0,70032,0,30638,0,30638,0,45656,0,45656,0,36409,0,36409,0,35182,0,35182,0,26448,0
sparse_16_20,3.76021,10.9497,8.54652,15.1727,3.79308,10.4687,5776.54,5199.6,12.4499,7.85213,4.39917,7.57799,3.98429,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,317100,0,315512,0,80692,0,80670,0,33308,0,33308,0,49932,0,49932,0,42772,0,42772,0,39761,0,39761,0,30787,0
sparse_16_21,1.84637,49.9533,5.66907,9.82694,3.2703,12.366,19.3127,18.8844,18.5191,19.0261,14.7072,21.9249,12.6826,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,317079,0,315689,0,82093,0,82071,0,34461,0,34461,0,53394,0,53394,0,45131,0,45131,0,34030,0,34030,0,30775,0
sparse_16_22,44.6894,56.9133,25.5983,32.0521,3.44222,10.3335,13.6757,13.6241,13.6461,13.6449,2.82829,8.25237,7.68101,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,319800,0,317937,0,85755,0,85709,0,32787,0,32787,0,54056,0,54056,0,44232,0,44232,0,34178,0,34178,0,29667,0
sparse_16_23,13.2664,25.1731,12.3492,20.0669,12.5017,18.7421,22.1391,22.568,22.5565,22.9886,8.41345,12.9049,11.6971,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,315955,0,314889,0,71733,0,71729,0,38723,0,38723,0,48178,0,48178,0,41816,0,41816,0,34272,0,34272,0,31558,0
