Query_Name,LDF,LDF+EF,NLF,NLF+EF,GQL,GQL+EF,TSOF,TSOF+EF,CFL,CFL+EF,DPiso,DPiso+EF,KF,LDF_ec,LDF+EF_ec,NLF_ec,NLF+EF_ec,GQL_ec,GQL+EF_ec,TSOF_ec,TSOF+EF_ec,CFL_ec,CFL+EF_ec,DPiso_ec,DPiso+EF_ec,KF_ec,LDF_cand,LDF+EF_cand,NLF_cand,NLF+EF_cand,GQL_cand,GQL+EF_cand,TSOF_cand,TSOF+EF_cand,CFL_cand,CFL+EF_cand,DPiso_cand,DPiso+EF_cand,KF_cand,LDF_true,LDF+EF_true,NLF_true,NLF+EF_true,GQL_true,GQL+EF_true,TSOF_true,TSOF+EF_true,CFL_true,CFL+EF_true,DPiso_true,DPiso+EF_true,KF_true
dense_4_1,0.130428,7.54497,0.152928,6.06248,0.151981,5.75904,10.6024,10.4148,10.3701,10.4195,0.0766477,4.98701,4.11994,278587,278587,278587,278587,278587,278587,278587,278587,278587,278587,278587,278587,278587,133446,133446,13543,13543,7519,7519,8016,8016,8016,8016,7519,7519,7519,7519,7519,7519,7519,7519,7519,7519,7519,7519,7519,7519,7519,7519
dense_4_2,0.0179375,5.06981,0.0781923,5.60273,0.0973882,5.5075,10.3835,10.4197,10.2781,10.253,0.0258664,4.92183,3.9644,23765,23765,23765,23765,23765,23765,23765,23765,23765,23765,23765,23765,23763,102547,97933,9251,9167,4493,4493,5764,5762,5491,5489,7739,7717,4394,2589,2589,2589,2589,2589,2589,2589,2589,2589,2589,2589,2589,2588
dense_4_3,0.0718165,5.00476,0.142296,5.48584,0.144528,5.51021,10.3552,11.2855,10.6617,10.7708,0.0832551,5.08896,4.06652,286641,286641,286641,286641,286641,286641,286641,286641,286641,286641,286641,286641,286641,133168,133168,14335,14335,8431,8431,8894,8894,8894,8894,8431,8431,8431,8431,8431,8431,8431,8431,8431,8431,8431,8431,8431,8431,8431,8431
dense_4_4,0.0696478,5.09884,0.135105,5.47409,0.138594,5.62244,10.3604,10.3351,10.3315,10.9797,0.0722571,5.01999,5.37566,270372,270372,270372,270372,270372,270372,270372,270372,270372,270372,270372,270372,270372,132954,132954,13850,13850,7723,7723,8188,8188,8188,8188,7723,7723,7723,7723,7723,7723,7723,7723,7723,7723,7723,7723,7723,7723,7723,7723
dense_4_5,0.107352,6.4663,0.1607,5.62701,0.160486,5.79317,10.775,10.6005,10.638,10.5896,0.0858748,5.04326,4.06681,290888,290888,290888,290888,290888,290888,290888,290888,290888,290888,290888,290888,290888,133284,8352,133284,8352,14346,8352,14346,8352,8352,8352,8352,8352,8826,8352,8826,8352,8826,8352,8826,8352,8352,8352,8352,8352,8352,8352
dense_4_6,0.0756526,5.02149,0.147025,5.69995,0.16263,5.56774,10.528,10.5743,10.4972,10.5469,0.0839691,5.96687,4.14409,259615,259615,259615,259615,259615,259615,259615,259615,259615,259615,259615,259615,259615,133327,8011,133327,8011,14112,8011,14112,8011,8011,8011,8011,8011,8509,8011,8509,8011,8509,8011,8509,8011,8011,8011,8011,8011,8011,8011
dense_4_7,0.0197571,4.9617,0.0883127,5.54602,0.0997048,5.55225,10.5474,10.5475,10.4995,10.5482,0.0320921,4.98236,4.06,40339,40339,40339,40339,40339,40339,40339,40339,40339,40339,40339,40339,40339,102482,2819,97890,2819,9922,2819,9829,2819,4782,2819,4782,2819,6158,2819,6158,2819,5813,2819,5813,2819,7245,2819,7226,2819,4601,2819
dense_4_8,0.0620155,5.10807,0.139351,5.55477,0.135369,5.61787,10.5751,10.5748,10.5474,10.5326,0.0685021,5.03608,4.1227,205547,205547,205547,205547,205547,205547,205547,205547,205547,205547,205547,205547,205547,132760,7328,132760,7328,13457,7328,13457,7328,7328,7328,7328,7328,7889,7328,7889,7328,7889,7328,7889,7328,7328,7328,7328,7328,7328,7328
dense_4_9,0.0889599,5.05405,0.16717,5.62502,0.178296,5.62313,10.6492,10.6609,10.5698,10.5657,0.0974515,5.06704,4.2272,388154,388154,388154,388154,388154,388154,388154,388154,388154,388154,388154,388154,388154,133259,8332,133259,8332,14444,8332,14444,8332,8332,8332,8332,8332,8791,8332,8791,8332,8791,8332,8791,8332,8332,8332,8332,8332,8332,8332
dense_4_10,0.087846,5.24838,0.161889,5.64585,0.16635,5.63552,10.6778,10.6093,10.5982,10.5159,0.0946936,5.08554,4.15469,359399,359399,359399,359399,359399,359399,359399,359399,359399,359399,359399,359399,359399,133660,8299,133660,8299,14290,8299,14290,8299,8299,8299,8299,8299,8798,8299,8798,8299,8798,8299,8798,8299,8299,8299,8299,8299,8299,8299
dense_8_1,0.10342,7.40432,0.285297,6.11682,0.29111,5.9697,10.4862,10.435,10.5687,10.3471,0.0400348,5.17305,4.01841,38458,38458,38458,38458,38458,38458,38458,38458,38458,38458,38458,38458,38458,132307,1006,108972,1006,12258,1006,11740,1006,3943,1006,3943,1006,6859,1006,6855,1006,5195,1006,5191,1006,4140,1006,4140,1006,3763,1006
dense_8_2,0.256702,5.44998,0.503701,6.71403,0.506255,6.2963,10.7173,10.7432,10.7243,10.7191,0.255643,5.55722,4.25996,1140161,1140161,1140161,1140161,1140161,1140161,1140161,1140161,1140161,1140161,1140161,1140161,1140161,140197,1770,118285,1770,13178,1770,12800,1770,4525,1770,4525,1770,7441,1770,7441,1770,5295,1770,5295,1770,5358,1770,5358,1770,4241,1770
dense_8_3,0.136511,5.16845,0.362855,6.12982,0.36981,6.21813,11.6075,10.9695,10.8032,10.865,0.26077,5.43031,4.3697,388845,388845,388845,388845,388845,388845,388845,388845,388845,388845,388845,388845,388845,114817,965,91818,965,8252,965,8144,965,3028,965,3028,965,5801,965,5801,965,4576,965,4576,965,8481,965,8460,965,2936,965
dense_8_4,0.3854,5.57458,0.650029,6.98176,0.625271,6.77838,11.7993,10.7876,10.928,10.8191,0.357244,5.66401,5.04903,1727462,1727462,1727462,1727462,1727462,1727462,1727462,1727462,1727462,1727462,1727462,1727462,1727462,160226,1959,139171,1959,16246,1959,15751,1959,5017,1959,5017,1959,7824,1959,7824,1959,5689,1959,5689,1959,5501,1959,5501,1959,4690,1959
dense_8_5,0.127339,5.80357,0.370561,6.33397,0.386399,6.24546,10.5939,10.8903,10.8504,10.5662,0.125061,5.60441,4.46405,495747,495747,495747,495747,495747,495747,495747,495747,495747,495747,495747,495747,495747,131042,796,110211,796,12004,796,11547,796,3780,796,3780,796,6640,796,6639,796,5014,796,5013,796,4085,796,4085,796,3468,796
dense_8_6,0.0902841,5.28966,0.33288,6.27037,0.323309,6.3046,10.8539,11.1811,10.4498,10.6933,0.0772009,5.0255,4.04574,173064,173064,173064,173064,173064,173064,173064,173064,173064,173064,173064,173064,173064,117105,553,99694,553,10597,553,10364,553,2584,553,2584,553,5269,553,5269,553,3484,553,3484,553,3078,553,3067,553,2341,553
dense_8_7,0.0243332,5.01649,0.258763,5.98462,0.262996,5.97584,10.2867,10.7511,11.645,11.2217,0.0419504,5.13065,4.0576,763,763,763,763,763,763,763,763,763,763,763,763,763,88701,201,70235,201,6895,201,6747,201,1685,201,1684,201,4517,201,4517,201,2479,201,2479,201,2339,201,2339,201,1492,201
dense_8_8,0.0617817,5.18889,0.324669,7.42556,0.337736,7.05015,12.3615,13.3299,11.5523,11.4686,0.0708546,5.21171,4.18745,135581,135581,135581,135581,135581,135581,135581,135581,135581,135581,135581,135581,135581,141416,2419,126391,2419,13404,2419,13315,2419,5589,2419,5589,2419,7721,2419,7721,2419,6297,2419,6297,2419,5588,2419,5588,2419,5312,2419
dense_8_9,0.0289615,5.19617,0.32711,6.49629,0.318051,6.32754,11.6958,11.5274,10.7006,10.7619,0.0354449,5.12792,4.1768,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,122771,320,104808,320,11382,320,11054,320,2846,320,2846,320,5921,320,5921,320,3438,320,3438,320,3166,320,3166,320,2314,320
dense_8_10,0.0305453,5.4161,0.319578,7.23084,0.341515,6.73304,11.817,11.767,11.6348,11.9139,0.037891,5.67042,4.60882,6529,6529,6529,6529,6529,6529,6529,6529,6529,6529,6529,6529,6529,146125,358,126367,358,15203,358,14540,358,3886,358,3886,358,7694,358,7687,358,5328,358,5321,358,4112,358,4112,358,3528,358
dense_16_1,0.496517,6.03283,1.10905,7.82368,1.1149,7.52411,10.6631,10.7411,10.6818,10.7565,0.509767,5.43013,4.49993,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,275325,232321,25259,24633,7399,7399,13502,13502,9300,9300,8359,8359,6444,882,882,886,886,1098,1098,886,886,1030,1030,885,885,1030
dense_16_2,0.400248,5.41153,0.974363,7.35732,0.980284,7.46124,11.3111,11.2072,11.2624,10.9166,0.39978,5.67703,4.43324,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,227894,185894,20323,19858,5549,5549,11187,11187,6910,6910,5872,5870,4613,192,195,297,297,297,297,297,297,148,148,152,152,152
dense_16_3,0.55367,6.353,1.07618,7.51803,1.08861,7.56889,10.8258,11.8694,10.9364,11.1209,0.545275,5.47404,4.60323,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,287772,251453,27171,26666,10600,10600,15261,15261,11536,11536,11049,11049,9906,1393,1393,1396,1396,1397,1397,1195,1195,1396,1396,1397,1397,1396
dense_16_4,0.432551,5.31508,0.946612,7.5443,0.978788,7.43113,10.7109,10.7449,10.8253,10.6936,0.411609,5.54183,4.59501,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,271920,229616,25203,24343,7709,7709,12894,12891,9838,9835,8007,8006,6774,471,469,471,471,473,473,472,472,473,473,473,473,473
dense_16_5,0.574564,5.62229,1.10743,7.53904,1.10203,7.55644,10.8914,10.8497,10.8657,11.2841,0.583247,5.52259,4.57641,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,232397,198707,19220,19012,6532,6532,11117,11117,8056,8056,8917,8917,5817,1103,1103,1103,1103,1103,1103,1101,1101,1103,1103,1103,1103,1103
dense_16_6,0.594216,5.9163,1.31941,7.75315,1.45109,7.91288,10.9353,10.9792,10.835,10.8767,0.631584,5.58179,4.83246,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,189291,154145,13835,13694,2983,2983,8709,8709,4646,4646,4721,4720,2365,292,292,292,292,292,292,293,293,292,292,293,293,292
dense_16_7,0.445992,5.9599,0.960702,7.52986,0.963006,7.45161,10.7011,11.0944,10.6866,10.7336,0.42377,5.46158,4.39693,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,249551,197186,21807,21163,4862,4862,11494,11494,6804,6804,5771,5766,4150,128,178,128,128,188,188,128,128,232,232,188,188,188
dense_16_8,0.0464749,5.24651,0.570276,7.02569,0.575673,7.02851,10.2873,10.304,10.4303,10.5461,0.0466526,4.99374,4.08115,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,4256,203393,165570,18045,17687,3981,3981,9515,9515,5113,5113,4152,4152,3148,84,84,84,84,84,84,84,84,84,84,84,84,84
dense_16_9,0.45651,5.85373,0.960712,7.4906,0.99915,7.41732,10.696,10.7794,10.6519,10.7053,0.449134,5.37149,4.49952,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,291926,257407,26345,25969,8472,8472,13643,13643,9950,9950,9351,9351,7691,217,221,217,217,481,481,217,217,217,217,263,263,444
