Query_Name,LDF,LDF+EF,NLF,NLF+EF,GQL,GQL+EF,TSOF,TSOF+EF,CFL,CFL+EF,DPiso,DPiso+EF,KF,LDF_ec,LDF+EF_ec,NLF_ec,NLF+EF_ec,GQL_ec,GQL+EF_ec,TSOF_ec,TSOF+EF_ec,CFL_ec,CFL+EF_ec,DPiso_ec,DPiso+EF_ec,KF_ec,LDF_cand,LDF_true,LDF+EF_cand,LDF+EF_true,NLF_cand,NLF_true,NLF+EF_cand,NLF+EF_true,GQL_cand,GQL_true,GQL+EF_cand,GQL+EF_true,TSOF_cand,TSOF_true,TSOF+EF_cand,TSOF+EF_true,CFL_cand,CFL_true,CFL+EF_cand,CFL+EF_true,DPiso_cand,DPiso_true,DPiso+EF_cand,DPiso+EF_true,KF_cand,KF_true
dense_24_1,1.63532,5.57548,2.26454,9.21603,2.22909,9.21853,9.70091,9.77609,9.63644,9.61872,1.84298,8.89187,6.89582,238749739,238749739,238749739,238749739,238749739,238749739,238749739,238749739,238749739,238749739,238749739,238749739,238749739,359347,0,306661,0,32520,0,31999,0,10249,0,10249,0,17182,0,17182,0,12189,0,12189,0,11005,0,11005,0,8754,0
dense_24_2,2.85016,21.9621,4.45574,15.1669,4.48055,14.8638,13.5242,17.4567,17.4262,17.4547,28.5218,30.3973,4.59291,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,343180,0,280410,0,28415,0,27894,0,6850,0,6850,0,14985,0,14985,0,9084,0,9084,0,8626,0,8624,0,5552,0
dense_24_3,2.87913,7.34257,3.33735,10.1525,3.27092,10.3603,10.6291,13.453,18.3105,18.3629,4.12479,11.1556,9.89778,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,310732,0,266102,0,27788,0,27442,0,5998,0,5998,0,13990,0,13990,0,8331,0,8331,0,7237,0,7237,0,4060,0
dense_24_4,9.91085,15.1652,5.78468,16.4913,5.77804,16.1486,19.0399,18.9162,18.8666,18.7618,4.16636,11.4203,10.2113,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,383924,0,334265,0,33473,0,33157,0,10707,0,10707,0,17663,0,17663,0,11912,0,11912,0,11180,0,11180,0,9179,0
dense_24_5,5.82412,12.4174,5.98746,16.4402,6.21732,10.411,13.8714,13.7784,18.7569,18.8845,4.4195,11.5832,10.6567,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,417680,0,360123,0,37477,0,37103,0,13739,0,13739,0,20700,0,20698,0,15716,0,15716,0,14970,0,14970,0,12167,0
dense_24_6,3.09253,10.0828,3.81337,14.9,3.73172,14.4827,16.517,16.5699,17.0285,17.0297,3.1749,10.25,8.30845,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,375550,0,314867,0,33377,0,32377,0,8968,0,8968,0,16926,0,16926,0,11478,0,11474,0,9936,0,9936,0,7281,0
dense_24_7,23.714,17.5025,7.62906,17.2087,6.48613,16.64,24.0211,23.4276,17.838,17.8491,5.51418,12.2609,11.0071,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,376621,0,319262,0,30921,0,30493,0,9971,0,9967,0,17136,0,17136,0,11963,0,11963,0,11370,0,11365,0,8622,0
dense_24_8,409.948,382.013,11.6926,18.8161,2.75657,9.62503,18.8739,18.9282,9.93086,9.96476,1.88916,5.82828,4.66586,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,370469,0,320910,0,33567,0,33219,0,11270,0,11270,0,18873,0,18873,0,13722,0,13722,0,12796,0,12796,0,9601,0
dense_24_9,2.35283,6.39612,2.95082,9.79895,3.27948,10.053,18.0567,18.2295,17.7902,16.586,2.53476,6.06836,5.41036,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,408568,0,366505,0,36024,0,35335,0,14507,0,14504,0,18311,0,18311,0,14582,0,14582,0,14120,0,14120,0,12891,0
dense_24_10,7.94676,7.93703,3.37,10.2384,3.37709,10.1215,9.58495,9.5961,10.5139,10.5358,2.39465,6.54194,5.04842,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,388459,0,341798,0,34287,0,33858,0,12614,0,12614,0,18677,0,18677,0,15265,0,15265,0,15097,0,15097,0,11851,0
dense_24_11,5.34565,13.9821,6.79603,17.1856,6.38245,16.7426,37.7081,37.7568,19.8034,19.5627,6.35675,13.4544,11.908,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,379245,0,319948,0,30575,0,30226,0,10123,0,10122,0,16868,0,16868,0,12429,0,12429,0,14081,0,14081,0,9375,0
dense_24_12,175.053,23.7018,75.0289,33.3806,4.25951,14.7958,593.636,744.901,47.5359,47.4359,3.97255,11.0698,9.05239,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,369373,0,305033,0,30908,0,30317,0,9167,0,9167,0,16636,0,16636,0,11336,0,11336,0,9897,0,9895,0,7983,0
dense_24_13,14.4962,13.5966,6.50395,16.2218,6.17674,16.3729,19.2765,19.1905,18.6821,18.2306,4.68348,11.367,10.3016,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,373615,0,318126,0,30509,0,30143,0,10471,0,10469,0,16627,0,16627,0,12166,0,12166,0,11995,0,11985,0,8974,0
dense_24_14,3.97172,10.7189,4.49638,14.8699,4.80406,15.1318,13.4398,10.0257,10.0859,10.102,2.79186,6.1367,5.49867,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,399138,0,350715,0,33921,0,33600,0,12039,0,12039,0,17948,0,17948,0,13318,0,13318,0,14659,0,14620,0,10077,0
dense_24_15,0.0845474,3.86877,0.898647,7.67878,0.93304,7.64151,8.1401,8.1664,8.15644,8.14535,0.0603363,3.89559,2.8957,32,32,32,32,32,32,32,32,32,32,32,32,32,226180,0,190837,0,19839,0,19597,0,3134,0,3134,0,10674,0,10674,0,5262,0,5262,0,4455,0,4455,0,1635,0
dense_24_16,5.45293,7.34349,4.60537,11.307,3.53244,10.4008,11.4949,11.3267,10.7793,10.7723,2.79138,12.0446,10.8446,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,360427,0,309250,0,30362,0,30082,0,10497,0,10497,0,17547,0,17547,0,12198,0,12198,0,11665,0,11664,0,9794,0
dense_24_17,2.65247,10.5527,3.75463,14.4082,4.01279,14.5019,17.4844,17.3255,17.3043,17.3443,2.91675,10.2018,8.97991,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,394047,0,339147,0,34805,0,33932,0,13669,0,13669,0,20004,0,20004,0,16156,0,16156,0,17526,0,17517,0,12621,0
