Query_Name,LDF,LDF+EF,NLF,NLF+EF,GQL,GQL+EF,TSOF,TSOF+EF,CFL,CFL+EF,DPiso,DPiso+EF,KF,LDF_ec,LDF+EF_ec,NLF_ec,NLF+EF_ec,GQL_ec,GQL+EF_ec,TSOF_ec,TSOF+EF_ec,CFL_ec,CFL+EF_ec,DPiso_ec,DPiso+EF_ec,KF_ec,LDF_cand,LDF_true,LDF+EF_cand,LDF+EF_true,NLF_cand,NLF_true,NLF+EF_cand,NLF+EF_true,GQL_cand,GQL_true,GQL+EF_cand,GQL+EF_true,TSOF_cand,TSOF_true,TSOF+EF_cand,TSOF+EF_true,CFL_cand,CFL_true,CFL+EF_cand,CFL+EF_true,DPiso_cand,DPiso_true,DPiso+EF_cand,DPiso+EF_true,KF_cand,KF_true
sparse_16_1,3.07675,6.06925,2.03362,7.96932,2.04961,12.8217,17.0496,17.194,17.1296,16.9351,2.54582,9.61732,8.55921,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,362054,0,316433,0,36685,0,35586,0,12944,0,12944,0,18550,0,18543,0,15071,0,15064,0,13493,0,13493,0,12343,0
sparse_16_2,2.69936,9.71067,3.48357,12.4707,3.63972,13.1856,15.9183,14.9606,17.0422,17.0572,3.09976,9.91096,8.81195,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,359483,0,315495,0,35933,0,35009,0,12551,0,12551,0,17726,0,17726,0,14123,0,14123,0,12903,0,12903,0,12060,0
sparse_16_3,3.1854,10.3073,3.83849,13.2484,3.89756,13.2555,16.2822,17.6377,17.0224,16.4015,2.91587,9.57854,8.88103,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,328605,0,301669,0,31934,0,31554,0,13102,0,13102,0,17348,0,17348,0,13869,0,13869,0,13171,0,13171,0,12606,0
sparse_16_4,2.53669,10.5079,2.00452,7.86597,2.39796,9.50439,9.73948,9.69402,10.0312,10.1683,1.80491,5.82185,4.7394,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,337198,0,295529,0,32510,0,31799,0,12540,0,12538,0,16780,0,16765,0,14482,0,14467,0,12218,0,12218,0,11237,0
sparse_16_5,2.96281,6.59348,1.96909,7.86252,4.26596,13.7987,14.9155,10.2582,10.5415,16.2559,5.63595,12.2911,9.69216,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,336135,0,301565,0,30574,0,30001,0,12241,0,12241,0,15877,0,15875,0,13827,0,13825,0,14457,0,14457,0,11612,0
sparse_16_6,2.8786,10.6991,3.81016,12.8145,3.67771,12.9388,17.176,17.1763,17.3227,17.2216,2.91178,9.918,8.71751,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,349743,0,321182,0,33443,0,32956,0,12400,0,12400,0,16502,0,16502,0,13905,0,13905,0,13616,0,13616,0,11693,0
sparse_16_7,2.60958,13.4052,3.36953,12.5299,3.35217,12.5097,17.0435,16.8647,16.8559,16.8545,2.60135,9.53497,8.38935,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,337795,0,296786,0,32050,0,31287,0,10402,0,10402,0,15134,0,15134,0,12121,0,12121,0,10812,0,10811,0,9771,0
sparse_16_8,3.56172,13.0918,4.41212,13.1776,5.33751,14.0496,17.6651,17.428,17.2822,17.0781,8.99075,15.9751,10.1888,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,379403,0,344098,0,38362,0,37541,0,13594,0,13594,0,18516,0,18515,0,16114,0,16113,0,14461,0,14461,0,12757,0
sparse_16_9,3.62725,9.49465,2.55699,9.057,2.65406,8.43222,10.4627,10.5422,10.4515,10.4278,3.21821,11.0041,10.0112,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,344867,0,309219,0,32303,0,31581,0,10987,0,10987,0,15419,0,15419,0,12856,0,12856,0,11778,0,11777,0,10565,0
sparse_16_10,6.15343,9.87531,3.4794,12.5485,4.16415,12.533,16.5304,16.8556,12.63,9.64049,1.46428,5.38998,4.40618,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,370674,0,343597,0,37832,0,37208,0,13946,0,13946,0,17854,0,17854,0,14737,0,14737,0,14352,0,14352,0,13030,0
sparse_16_11,20.6686,9.2498,3.17497,8.9998,3.60621,14.5469,19.5867,19.8531,19.0209,19.0528,4.47448,11.7586,10.6032,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,291194,0,260832,0,23754,0,23597,0,9240,0,9239,0,12666,0,12666,0,10360,0,10360,0,10205,0,10202,0,8831,0
sparse_16_12,8.51125,14.6464,5.95054,15.2681,5.85446,14.9162,19.7496,19.6275,19.413,19.3464,6.61423,13.5033,11.0525,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,316151,0,284205,0,28226,0,28040,0,11816,0,11816,0,15350,0,15350,0,13149,0,13149,0,14137,0,14137,0,11089,0
sparse_16_13,2.59614,9.59184,3.30027,13.7114,4.753,13.6962,16.7518,16.802,18.0316,18.0738,2.74851,9.705,9.84528,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,356714,0,319697,0,36085,0,35337,0,13517,0,13517,0,18532,0,18531,0,14914,0,14914,0,14101,0,14101,0,13004,0
sparse_16_14,2.72517,11.9079,4.49309,13.4046,4.11714,13.1665,17.869,17.7684,11.5468,10.358,2.12929,6.08811,5.02245,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,355607,0,326833,0,34361,0,33934,0,12423,0,12423,0,16210,0,16210,0,13679,0,13679,0,11810,0,11799,0,10467,0
sparse_16_15,4.19348,7.06788,1.97166,8.22515,2.07219,8.05041,9.69012,9.63871,9.55192,9.61499,1.99819,5.92762,4.9513,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,363769,0,316603,0,34884,0,33928,0,12035,0,12031,0,16349,0,16349,0,14149,0,14145,0,11870,0,11870,0,10581,0
sparse_16_16,1.33634,5.79582,1.87221,7.68463,2.27576,8.04452,9.76,9.79431,17.4436,17.3944,3.21878,10.0739,8.93654,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,357478,0,328466,0,35899,0,35493,0,14643,0,14643,0,18883,0,18883,0,16402,0,16402,0,14879,0,14879,0,14055,0
sparse_16_17,4.12621,10.9832,4.60226,13.4655,4.27888,13.1696,17.6637,17.5073,17.8094,17.7621,3.612,10.5534,9.45996,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,367816,0,319596,0,36692,0,35458,0,12473,0,12473,0,17580,0,17579,0,13701,0,13701,0,13355,0,13341,0,10979,0
sparse_16_18,3.29715,10.5108,3.36699,12.2045,3.69196,12.8026,16.6801,16.8528,17.1973,17.3857,2.89999,10.0016,9.09023,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,353769,0,319445,0,35610,0,34802,0,14022,0,14022,0,18123,0,18111,0,15449,0,15437,0,14395,0,14395,0,13198,0
sparse_16_19,3.7727,10.6824,3.75477,12.4483,3.60453,12.6848,16.9642,16.9288,16.7235,17.1788,2.7749,5.35471,4.42854,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,500000000,364751,0,324314,0,36689,0,35616,0,14610,0,14610,0,19107,0,19106,0,16473,0,16472,0,15003,0,15003,0,14439,0
