dense_20_1_0,3161,3132,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267
dense_20_1_0.25,13010,12870,1844,1844,1834,1834,1842,1842,1834,1834,1834,1834
dense_20_1_0.5,22850,22603,2487,2478,2402,2402,2463,2463,2447,2447,2449,2449
dense_20_1_0.75,33615,32887,4713,4713,4691,4691,4706,4706,4691,4691,4691,4691
dense_20_1_1,43291,42468,43291,42468,38829,38827,43013,42468,42922,42468,42922,42468
dense_20_2_0,2893,2770,1481,1478,1160,1160,1292,1292,1166,1166,1301,1301
dense_20_2_0.25,16187,15875,2088,2083,1652,1652,1676,1676,1658,1658,1815,1815
dense_20_2_0.5,30918,29913,11527,11005,5008,5008,6123,5986,5029,5029,6024,6024
dense_20_2_0.75,41645,40486,4769,4756,2487,2487,3878,3878,2756,2756,2891,2891
dense_20_2_1,57905,55983,57905,55983,53561,53357,55378,54325,55358,54325,55358,54325
dense_20_3_0,4339,4244,888,883,264,264,454,454,328,328,328,328
dense_20_3_0.25,21387,20459,2799,2791,849,849,2011,2011,1073,1073,1103,1103
dense_20_3_0.5,37046,35519,10579,10288,4402,4402,6331,6330,4934,4933,4602,4601
dense_20_3_0.75,54536,52058,33123,31561,8550,8516,15560,15480,13791,13714,12391,12321
dense_20_3_1,70116,66916,70116,66916,64903,64222,67645,65755,67165,65521,67020,65464
dense_20_4_0,3971,3732,1366,1366,1180,1180,1279,1279,1180,1180,1180,1180
dense_20_4_0.25,14497,14063,1664,1664,1442,1442,1574,1574,1442,1442,1442,1442
dense_20_4_0.5,27580,26092,3574,3571,2500,2500,3151,3151,2626,2626,2545,2545
dense_20_4_0.75,38856,36876,6363,6351,5617,5617,5925,5923,5863,5861,8456,8444
dense_20_4_1,50048,47614,50048,47614,44541,44511,48664,47459,48487,47459,48487,47459
dense_20_5_0,3414,3056,898,859,526,526,555,555,553,553,553,553
dense_20_5_0.25,18314,17395,1545,1504,605,605,802,802,631,631,768,768
dense_20_5_0.5,32811,30276,2570,2512,1272,1272,1903,1903,1308,1308,1339,1339
dense_20_5_0.75,49095,45862,13335,12328,3359,3359,5174,5162,3082,3082,2438,2438
dense_20_5_1,63054,59058,63054,59058,56874,56776,60612,57975,59625,57667,59625,57667
dense_20_6_0,2020,2020,1760,1760,1720,1720,1740,1740,1740,1740,1980,1980
dense_20_6_0.25,11910,11845,1175,1175,1075,1075,1175,1175,1175,1175,4820,4820
dense_20_6_0.5,21800,21670,2790,2790,2382,2382,2790,2790,2790,2790,7660,7660
dense_20_6_0.75,31690,31495,4565,4565,4080,4080,4559,4559,4540,4540,10500,10500
dense_20_6_1,41580,41320,41580,41320,37303,37303,41500,41320,41500,41320,41500,41320
dense_20_7_0,1350,1328,451,450,381,381,381,381,381,381,381,381
dense_20_7_0.25,12361,12214,81,81,81,81,142,142,0,0,473,473
dense_20_7_0.5,26526,25664,2145,2112,0,0,164,164,28,28,522,522
dense_20_7_0.75,37825,36964,1513,1501,0,0,197,197,197,197,611,611
dense_20_7_1,52200,50490,52200,50490,46214,46140,50293,49498,50205,49498,50205,49498
