dense_32_1_0,4124220,3726681,484548,483948,36993,36986,44550,44545,10882,10877,5003,5002
dense_32_1_0.25,22544427,19959107,2825152,2805818,573344,572569,701344,697237,165836,165764,161485,160531
dense_32_1_0,4124220,3726681,484548,483948,36993,36986,44550,44545,10882,10877,5003,5002
dense_32_1_0.25,22544427,19959107,2825152,2805818,573344,572569,701344,697237,165836,165764,161485,160531
dense_32_1_0.5,43155794,38083036,9769732,9405114,2967377,2950496,5501917,5263829,2979164,2937490,2260537,2225569
dense_32_1_0.75,62742826,56523511,37258649,35322478,24364413,24234445,32427429,30891824,26507225,26305303,25672092,25332602
dense_32_1_1,82470055,74513527,82470055,74513527,78224633,72484379,82103073,74089293,82042330,74080082,82040258,74078656
dense_32_2_0,4181507,3766675,471275,470210,10565,10565,51099,51094,13711,13711,7623,7623
dense_32_2_0.25,22304284,19265453,3021909,2967397,133638,133605,991415,987209,217346,216673,155110,154707
dense_32_2_0.5,43948079,38739583,15496827,14840906,3586283,3511765,8581802,8248394,5029810,4779274,3201498,3099070
dense_32_2_0.75,64444956,59064431,40983758,38348275,32759924,31176182,36761485,34666898,34857790,32810921,33445197,31494892
dense_32_2_1,83664045,75377774,83664045,75377774,80387969,73808755,83403363,75276126,83397262,75274100,83395998,75271482
dense_32_3_0,4341925,4090734,531053,530494,13598,13598,48430,48429,12934,12934,8300,8289
dense_32_3_0.25,23941820,23099985,3436727,3414500,272190,271889,923896,922109,334862,333946,211962,211032
dense_32_3_0.5,46620203,44975601,19645430,19469935,6204535,6193821,11085858,11034677,6672873,6650999,3403420,3389348
dense_32_3_0.75,66307366,61675572,42213610,40697440,29273346,28879618,37303520,36334382,34035448,33112548,30832378,30174659
dense_32_3_1,86865953,81847865,86865953,81847865,84264427,80343868,86611727,81689477,86528827,81610427,86522393,81605269
dense_32_4_0,4445091,4154950,655477,654978,101159,101159,69379,69377,47929,47929,26687,26687
dense_32_4_0.25,25302943,24319202,4358577,4350097,2002855,2002745,1889842,1888870,1482104,1481772,955143,953771
dense_32_4_0.5,48862892,46824982,24534234,24390536,14933970,14932497,18116916,18102137,17208565,17187628,12685742,12681565
dense_32_4_0.75,68583694,64515834,41236981,40674836,32897681,32786598,35726290,35451897,33637634,33431892,32786057,32500815
