dense_32_1_0,6431,5840,1891,1841,127,127,575,570,257,255,359,354
dense_32_1_0.25,17355,15916,4164,4062,1185,1179,2788,2767,2220,2199,2903,2869
dense_32_1_0.5,24916,22500,11342,10911,4117,4113,7391,7180,5272,5188,5757,5639
dense_32_1_0.75,33831,30819,24322,22035,18404,18127,21654,20235,21161,19883,21266,19972
dense_32_1_1,48193,44234,48193,44234,43377,42289,47245,43935,47077,43907,47066,43900
dense_32_2_0,5373,5030,1019,1017,42,42,521,521,161,161,65,65
dense_32_2_0.25,16918,15480,3442,3416,142,142,2428,2425,518,518,174,174
dense_32_2_0.5,28359,26109,15336,14604,6427,6427,9614,9519,8033,7990,8615,8554
dense_32_2_0.75,38600,35554,30455,28154,18696,18446,23654,22264,20920,20100,20206,19481
dense_32_2_1,51472,47357,51472,47357,47222,45803,50570,47078,50437,47039,50412,47039
dense_32_3_0,5643,4888,1532,1480,264,264,936,935,371,371,280,280
dense_32_3_0.25,15810,13907,4711,4555,1731,1731,3370,3361,2465,2461,2343,2329
dense_32_3_0.5,27324,24007,11052,10402,4763,4750,6834,6724,5889,5816,6056,6006
dense_32_3_0.75,36134,31776,24023,21725,12645,12580,20974,19733,15323,14859,13547,13264
dense_32_3_1,46757,40991,46757,40991,41111,39226,45322,40631,45152,40611,45149,40611
dense_32_4_0,7776,7364,3202,3150,1013,1012,1652,1651,1091,1091,1103,1101
dense_32_4_0.25,21265,20361,8635,8525,4394,4391,6516,6500,5212,5207,5491,5477
dense_32_4_0.5,33009,31305,18011,17546,12470,12465,14834,14667,14545,14440,14602,14452
dense_32_4_0.75,42061,39543,30568,29203,26632,26424,28891,27936,28333,27510,29114,28189
dense_32_4_1,54394,51325,54394,51325,50544,49874,53610,51142,53547,51142,53544,51142
dense_32_5_0,8015,7579,3497,3461,1069,1069,1512,1510,924,922,1110,1106
dense_32_5_0.25,18675,17072,7356,7207,1847,1847,3677,3659,2107,2177,1649,1646
dense_32_5_0.5,28829,26609,15536,14834,7002,6996,10818,10752,9467,9427,7568,7510
dense_32_5_0.75,41651,38557,30955,29299,15139,15131,22889,22355,18189,17969,17609,17421
dense_32_5_1,52568,47791,52568,47791,48118,46228,51394,47310,51257,47299,51251,47299
dense_32_6_0,6510,6022,2580,2565,483,483,1748,1745,624,623,889,882
dense_32_6_0.25,19496,17875,6395,6323,1668,1668,5190,5178,4190,4183,3522,3506
dense_32_6_0.5,30009,27269,16504,15463,8687,8681,12668,12293,11173,11012,10063,9993
dense_32_6_0.75,42738,38715,27384,25757,19239,19194,23270,22659,21792,21375,21709,21281
dense_32_6_1,53799,48984,53799,48984,49077,47417,52785,48755,52521,48713,52513,48713
dense_32_7_0,6572,6091,1375,1375,200,200,637,637,179,179,196,196
dense_32_7_0.25,17291,15686,4760,4711,1421,1421,3047,3033,2151,2144,1739,1738
dense_32_7_0.5,30496,27600,18237,17320,11380,11368,14780,14525,12980,12798,12194,12072
dense_32_7_0.75,40155,36814,29610,27843,21289,21196,26686,25699,24744,24006,23322,22770
dense_32_7_1,53099,48407,53099,48407,48328,46682,51808,47951,51736,47911,51722,47911
dense_32_8_0,5220,4627,1079,1060,109,109,280,280,116,116,82,82
dense_32_8_0.25,16530,14189,3757,3620,372,372,1132,1130,479,479,425,425
dense_32_8_0.5,23748,20240,9848,9020,1041,1041,5690,5423,1239,1236,1341,1339
dense_32_8_0.75,36490,31479,22885,21035,13393,13350,19146,18318,16339,15827,15706,15311
dense_32_8_1,44691,38884,44691,38884,39209,37044,43223,38528,43024,38468,43022,38468
dense_32_9_0,5237,4608,1371,1359,448,448,950,950,678,678,703,702
dense_32_9_0.25,14051,12221,3773,3714,1753,1753,3192,3180,2148,2147,2213,2210
dense_32_9_0.5,25453,22098,11220,10435,5784,5731,9442,9056,8323,8135,9616,9358
dense_32_9_0.75,34216,29747,21697,19865,10717,10277,17716,16769,14326,13756,14011,13154
dense_32_9_1,43684,37790,43684,37790,38147,35923,42284,37371,42121,37346,42121,37346
dense_32_10_0,7223,6851,1994,1985,232,232,845,843,265,265,214,214
dense_32_10_0.25,19364,18245,8793,8660,3204,3204,5673,5661,2398,2398,2972,2971
dense_32_10_0.5,27083,24951,11705,10902,7533,7514,10349,9813,9084,8735,8746,8473
dense_32_10_0.75,41330,37963,26428,24698,20758,20183,23452,22505,22576,21481,22767,21643
dense_32_10_1,52930,48576,52930,48576,48658,47053,52044,48399,51847,48333,51832,48333
dense_32_11_0,6534,5995,1420,1376,320,320,571,571,379,379,390,390
dense_32_11_0.25,18305,16691,6628,6406,2992,2990,3755,3740,3395,3382,3190,3166
dense_32_11_0.5,29679,26573,8674,8293,2793,2791,4083,4065,3182,3169,3843,3811
dense_32_11_0.75,41701,37830,24407,22579,13098,13052,16799,16311,15447,15154,14996,14737
dense_32_11_1,53713,49109,53713,49109,49096,47413,52401,48781,52206,48755,52180,48754
dense_32_12_0,6197,5541,1420,1407,204,204,707,707,252,252,211,211
dense_32_12_0.25,16942,14967,5361,5190,617,617,3485,3444,1555,1552,466,465
dense_32_12_0.5,28871,25347,12723,11882,7167,7123,10817,10303,8636,8307,9152,8784
dense_32_12_0.75,37893,33478,21476,19541,5380,5377,17758,16760,10567,10300,8351,8223
dense_32_12_1,49212,43551,49212,43551,44101,41807,47927,43160,47739,43133,47727,43133
dense_32_13_0,8308,7853,3348,3298,798,798,1203,1198,686,684,751,747
dense_32_13_0.25,17634,16337,6230,6094,1756,1756,4176,4157,3532,3523,1726,1716
dense_32_13_0.5,32688,30088,17660,16824,12973,12947,15635,15276,14326,14129,15996,15634
dense_32_13_0.75,43170,39892,29058,27297,20591,20556,24283,23684,22848,22425,22996,22573
dense_32_13_1,54742,50440,54742,50440,50279,48811,53463,50022,53248,49981,53232,49981
